Image,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N,...1,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women
I710,Scared face 2,Person,Pixabay,3.77450980392157,1.01383364918499,102,3.1980198019802,1.61876373804331,101,I710,3.755555556,1.208973185,45,3.803571429,0.840338522,56,3.244897959,1.57494196,49,3.153846154,1.673139768,52
I211,Depressed face 1,Person,Pixabay,3.76470588235294,0.88077902723472,102,3.06930693069307,1.51167076933156,101,I211,3.795454545,0.878146713,44,3.74137931,0.889714025,58,3.29787234,1.428207962,47,2.903846154,1.575045787,52
I726,Shark 1,Animal,Pixabay,3.75925925925926,1.45890991420441,108,4.11538461538461,1.81850088856254,104,I726,4.01754386,1.445327794,57,3.470588235,1.43321933,51,4,1.802775638,49,4.218181818,1.842812957,55
I856,Volcano 1,Scene,Pixabay,3.75247524752475,1.22805488960436,101,3.98058252427184,1.6743777452562,103,I856,3.862068966,1.146287308,58,3.604651163,1.329868144,43,3.897959184,1.673878953,49,4.075471698,1.696705593,53
I129,Cardboard 3,Object,Pixabay,3.74509803921569,0.804520329507078,102,1.86138613861386,1.2730255533201,101,I129,3.659090909,0.887724602,44,3.810344828,0.736442291,58,1.872340426,1.244413976,47,1.846153846,1.319307831,52
I369,Frustrated pose 8,Person,Pixabay,3.74074074074074,0.950851761497749,108,3.36538461538462,1.7239472223337,104,I369,3.771929825,1.052506258,57,3.705882353,0.831723936,51,3.040816327,1.606745983,49,3.654545455,1.786971179,55
I93,Boxing 1,Person,Pixabay,3.73529411764706,1.27369790306881,102,3.89108910891089,1.66673927234592,101,I93,3.866666667,1.407770642,45,3.625,1.168721135,56,4.06122449,1.675909744,49,3.730769231,1.658198699,52
I249,Doctor 8,Person,Pixabay,3.73267326732673,1.13040779463794,101,3.92233009708738,1.87705088040114,103,I249,3.724137931,1.18162991,58,3.744186047,1.071114757,43,4,1.825741858,49,3.849056604,1.955231901,53
I311,Fence 1,Object,Pixabay,3.73267326732673,0.773189357258762,101,2.15533980582524,1.4736727598106,103,I311,3.775862069,0.773306944,58,3.674418605,0.778304942,43,2.448979592,1.541930939,49,1.905660377,1.376508277,53
I485,Lion 5,Animal,Wikipedia,3.72549019607843,1.38704660057986,102,4.69306930693069,1.64768063809359,101,I485,4.066666667,1.268499471,45,3.464285714,1.439245834,56,4.714285714,1.607275127,49,4.673076923,1.700301632,52
