SUBJ,Name,Encode,Stim,Vcat,Acat,Vrate,Arate,Vrt,Art,Recall,Rrt,VrateOASIS,ArateOASIS
AMYR21PT04,Happy pose 1.jpg,0,0,1,0,999,999,999,999,0,9.37840289995074,999,999
AMYR21PT04,Sleepy pose 3.jpg,1,0,0,0,999,999,999,999,0,2.6084422999993,999,999
AMYR21PT04,Ambulance 2.jpg,1,1,0,0,999,999,999,999,1,4.59442490001675,999,999
AMYR21PT04,Police 1.jpg,1,0,0,1,999,999,999,999,1,4.86184280004818,999,999
AMYR21PT04,Biking 1.jpg,0,0,1,0,999,999,999,999,1,22.1308683999814,999,999
AMYR21PT04,School 7.jpg,1,1,1,0,999,999,999,999,0,11.1019965999294,999,999
AMYR21PT04,Flood 2.jpg,1,1,0,0,999,999,999,999,1,4.44603820005432,999,999
AMYR21PT04,Boxing 2.jpg,0,0,0,1,999,999,999,999,0,13.7103795000585,999,999
AMYR21PT04,Astronaut 1.jpg,0,0,1,1,999,999,999,999,1,10.2343839999521,999,999
AMYR21PT04,Thunderstorm 6.jpg,1,1,1,1,999,999,999,999,1,2.06524160003755,999,999
AMYR21PT04,Fire 3.jpg,0,0,0,1,999,999,999,999,1,3.11340560007375,999,999
AMYR21PT04,Parachuting 2.jpg,1,1,1,1,999,999,999,999,0,5.03647530009039,999,999
AMYR21PT04,Gazing 6.jpg,0,0,1,0,999,999,999,999,1,2.32751430000644,999,999
AMYR21PT04,Parachuting 4.jpg,0,0,1,1,999,999,999,999,0,4.01842239999678,999,999
AMYR21PT04,Collaboration 1.jpg,0,0,1,0,999,999,999,999,0,6.69944310002029,999,999
AMYR21PT04,Sad pose 7.jpg,0,0,0,0,999,999,999,999,1,7.66703590005636,999,999
AMYR21PT04,Destruction 9.jpg,1,0,0,0,999,999,999,999,0,6.90452189999633,999,999
AMYR21PT04,Thunderstorm 1.jpg,0,0,0,1,999,999,999,999,0,3.29512600007001,999,999
AMYR21PT04,Garbage dump 1.jpg,0,0,0,0,999,999,999,999,0,3.9391335999826,999,999
AMYR21PT04,War 6.jpg,0,0,0,1,999,999,999,999,0,10.3867713999934,999,999
AMYR21PT04,War 4.jpg,1,0,0,1,999,999,999,999,0,16.9627828999655,999,999
AMYR21PT04,Dancing 6.jpg,0,0,1,0,999,999,999,999,0,10.6913202999858,999,999
AMYR21PT04,Couple 4.jpg,1,0,1,1,999,999,999,999,1,4.7090320000425,999,999
AMYR21PT04,Police 2.jpg,0,0,0,1,999,999,999,999,0,15.4857074000174,999,999
AMYR21PT04,Beach 8.jpg,1,0,1,0,999,999,999,999,0,4.11809339991305,999,999
AMYR21PT04,Car crash 1.jpg,1,1,0,1,999,999,999,999,0,11.7873756999616,999,999
AMYR21PT04,Beach 4.jpg,0,0,1,0,999,999,999,999,1,5.4956075999653,999,999
AMYR21PT04,Child labor 1.jpg,1,1,1,0,999,999,999,999,0,2.18978100002278,999,999
AMYR21PT04,Rugby 2.jpg,0,0,1,0,999,999,999,999,1,5.97541340009775,999,999
AMYR21PT04,Rollercoaster 1.jpg,0,0,1,1,999,999,999,999,1,2.17821610008832,999,999
AMYR21PT04,Bored pose 1.jpg,0,0,0,0,999,999,999,999,0,3.39035770006012,999,999
AMYR21PT04,Car accident 4.jpg,0,0,0,0,999,999,999,999,0,11.1827834999422,999,999
AMYR21PT04,Bored pose 4.jpg,1,1,0,0,999,999,999,999,0,2.09550229995511,999,999
AMYR21PT04,School 6.jpg,1,0,1,0,999,999,999,999,0,5.41118799999822,999,999
AMYR21PT04,Explosion 2.jpg,0,0,0,1,999,999,999,999,1,3.79199109994806,999,999
AMYR21PT04,Explosion 1.jpg,0,0,0,1,999,999,999,999,1,3.28167769999709,999,999
AMYR21PT04,Yoga 5.jpg,0,0,0,0,999,999,999,999,1,3.3844747999683,999,999
AMYR21PT04,Gun 2.jpg,0,0,0,1,999,999,999,999,0,3.40816369990353,999,999
AMYR21PT04,Depressed pose 3.jpg,0,0,0,1,999,999,999,999,1,4.29240209993441,999,999
AMYR21PT04,Mother 6.jpg,1,0,1,1,999,999,999,999,0,4.58370840002317,999,999
AMYR21PT04,War 2.jpg,0,0,0,1,999,999,999,999,0,3.15622820006683,999,999
AMYR21PT04,War 7.jpg,0,0,0,1,999,999,999,999,0,8.39910079992842,999,999
AMYR21PT05,Massage 2,1,0,1,1,5,6,15.1135533917695,26.440242882818,999,999,5.75490196078431,4.11881188118812
AMYR21PT05,Dog attack 2,1,0,0,1,3,7,11.8438126868568,38.8009936958551,999,999,3.42574257425743,4.47572815533981
AMYR21PT05,Flood 2,1,0,0,0,2,2,14.4127427348867,26.6735950740986,999,999,2.35643564356436,3.85436893203884
AMYR21PT05,Band 2,1,0,1,0,4,5,7.40654606092721,15.0633271872066,999,999,5.15686274509804,3.84158415841584
AMYR21PT05,Couple 4,1,1,1,1,6,6,9.74194962996989,21.6358098173514,999,999,5.97058823529412,4.53465346534653
AMYR21PT05,Bored face 1,1,1,0,0,4,4,9.4084821306169,23.9546905523166,999,999,3.64814814814815,2.375
AMYR21PT05,Bored pose 6,1,1,1,0,5,5,7.27310298290104,13.0949288131669,999,999,4.55882352941176,3.38613861386139
